,ano,trimestre,margem_liquida,giro_de_ativos,alavancagem,roa,roe,ipca,selic
0,2012.0,1.0,0.1255664055306994,0.4734778187364942,2.177240480587021,0.059452907797257606,0.129443277544797,0.01224646292000009,0.02480177735
1,2012.0,2.0,0.1481768735530438,0.8847866748218517,2.157400158636709,0.13110492323649559,0.2828457821884691,0.02307752135200003,0.045847453606000066
2,2012.0,3.0,0.1588573061622445,1.2206676699454262,2.119614167925488,0.1939119777668742,0.41101857540511877,0.03724313184300021,0.06506860697399985
3,2012.0,4.0,0.11990492544543793,1.4898208689284242,2.3886727106488137,0.17863686021592026,0.4267049931137555,0.05717282150300029,0.0822661414989998
4,2013.0,1.0,0.05643653057925163,0.15813271604961196,1.3071046934500574,0.008924461864914041,0.011665205990145196,0.019420462519999848,0.016489511700000126
5,2013.0,2.0,0.11329943633077413,0.31226749216470556,1.4184868092536824,0.03537973084668557,0.0501856815209691,0.031264785429999886,0.03480014496000017
6,2013.0,3.0,0.10786156213977716,0.5091263640413073,1.4097140862251216,0.054915164952040275,0.07741468158026728,0.03747495795,0.05635315791200046
7,2013.0,4.0,0.11258393299168921,0.7133647333451512,1.392687977088721,0.08031340733756474,0.1118515167980555,0.05790814112600007,0.07973280864000043
8,2014.0,1.0,0.2302745557001654,0.21661669603073389,1.3902597214027204,0.04988131343571502,0.06934798092033893,0.021752379140000055,0.024293947055000098
9,2014.0,2.0,0.20500883736367198,0.4588075876582828,1.3825736041687209,0.09405961011945557,0.13004433416956038,0.037128522419999976,0.049604452043000125
10,2014.0,3.0,0.1637905580431988,0.6676113725832017,1.4117788610696433,0.10934843927138853,0.15437581505430395,0.04544359384499996,0.07715347415800022
11,2014.0,4.0,0.1407627652195447,0.9146825876034367,1.4370451573278207,0.12875325032922819,0.185024234875834,0.06263772092100006,0.10490588023800029
12,2015.0,1.0,0.09174795063603182,0.5772282362870191,0.5745601261050552,0.05295950772858514,0.030428421438997526,0.03827799689600009,0.028260921632000002
13,2015.0,2.0,0.11324970073367592,1.2064209603562515,0.5343028460535004,0.13662681271917937,0.07300009488307613,0.060845501962000226,0.05866355796700007
14,2015.0,3.0,0.11200448006056632,1.8766138178740022,0.5069216114077426,0.2101891549454519,0.10654942512538017,0.07470457561800026,0.09305018184500025
15,2015.0,4.0,0.11734549091659208,0.85038679048956,1.4860924403789975,0.09978905539898256,0.14829576086098897,0.10286387069000025,0.12672092670100032
16,2016.0,1.0,0.09233495790872841,0.22366021880450293,1.5107265296345644,0.020651656889170762,0.03119900594338069,0.026208101489999747,0.032546189599999886
17,2016.0,2.0,0.09811065538005062,0.4550517736058852,1.4614848884955238,0.04464542774032782,0.06524861798290797,0.04370449801999987,0.06621693445599997
18,2016.0,3.0,0.10389838188648357,0.645010135294395,1.510123013839057,0.06701550935746949,0.10120166296486134,0.05413507632399983,0.1010124876180003
19,2016.0,4.0,0.08646267238769353,0.6166915608663182,2.2110492676052327,0.05332080039143983,0.11789491665361784,0.06155297036399965,0.13345699065800032
20,2017.0,1.0,0.017076275877338648,0.2396831819779899,2.128321332768601,0.004092896138614519,0.008710998164619512,0.00963032134999997,0.030401625714999936
21,2017.0,2.0,0.027646496380275918,0.4915666210082454,2.0588064529506904,0.013590094808368921,0.02797937488768161,0.011824301368000167,0.05591501082200012
22,2017.0,3.0,0.041230053970284807,0.7357782595148599,2.0153243907652842,0.030336177349959893,0.061137238135955535,0.017735748664000184,0.07848182042200014
23,2017.0,4.0,0.04900660512389532,0.9670160824375719,2.0831536762469085,0.04739017530047429,0.09872101789516846,0.029178360408000037,0.09608383741400006
24,2018.0,1.0,-0.04914763413834554,0.23967889157352296,2.07037212770284,-0.011779650473739696,-0.024388260014912223,0.0070147783519998175,0.01588305447799998
25,2018.0,2.0,0.002817239906002991,0.48543613808122577,1.8437619502868068,0.0013675900600184075,0.00252151051625239,0.025901809231999806,0.03156431508600033
26,2018.0,3.0,0.014176311896266643,0.7314449395289624,1.8482570383180978,0.010369191597708464,0.01916493135213355,0.03311034497599974,0.04744740975200035
27,2018.0,4.0,0.01710313327393874,0.9519560413307053,1.9616871704745167,0.016281431045810188,0.031939074399531336,0.003894135824999978,0.015277059653999725
